[0, 721, np.int64(0), 0]
[360, 1081, np.int64(0), 0]
[410, 1131, np.int64(0), 0]
[460, 1181, np.int64(0), 0]
[510, 1231, np.int64(0), 0]
[560, 1281, np.int64(0), 0]
[610, 1331, np.int64(0), 0]
[1331, 2052, np.int64(0), 1]
[1457, 2178, np.int64(0), 1]
[1497, 2218, np.int64(0), 1]
[1547, 2268, np.int64(0), 1]
[1607, 2328, np.int64(0), 1]
[1657, 2378, np.int64(0), 1]
[1707, 2428, np.int64(0), 1]
[1757, 2478, np.int64(0), 1]
[1807, 2528, np.int64(0), 1]
[1857, 2578, np.int64(0), 1]
[1907, 2628, np.int64(0), 1]
[1957, 2678, np.int64(0), 1]
[2007, 2728, np.int64(0), 1]
[2057, 2778, np.int64(0), 1]
